"industry_raw","industry_code","industry_level","year","deaths_of_new_enterprises"
"205 : Manufacture of other chemical products","205","group","2022",80
"205 : Manufacture of other chemical products","205","group","2023",60
"205 : Manufacture of other chemical products","205","group","2024",45
"206 : Manufacture of man-made fibres","206","group","2019",0
"206 : Manufacture of man-made fibres","206","group","2020",0
"206 : Manufacture of man-made fibres","206","group","2021",0
"206 : Manufacture of man-made fibres","206","group","2022",0
"206 : Manufacture of man-made fibres","206","group","2023",0
"206 : Manufacture of man-made fibres","206","group","2024",0
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2019",55
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2020",50
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2021",75
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2022",80
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2023",75
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2024",50
"211 : Manufacture of basic pharmaceutical products","211","group","2019",15
"211 : Manufacture of basic pharmaceutical products","211","group","2020",20
"211 : Manufacture of basic pharmaceutical products","211","group","2021",30
"211 : Manufacture of basic pharmaceutical products","211","group","2022",40
"211 : Manufacture of basic pharmaceutical products","211","group","2023",25
"211 : Manufacture of basic pharmaceutical products","211","group","2024",25
"212 : Manufacture of pharmaceutical preparations","212","group","2019",40
"212 : Manufacture of pharmaceutical preparations","212","group","2020",30
"212 : Manufacture of pharmaceutical preparations","212","group","2021",45
"212 : Manufacture of pharmaceutical preparations","212","group","2022",40
"212 : Manufacture of pharmaceutical preparations","212","group","2023",50
"212 : Manufacture of pharmaceutical preparations","212","group","2024",25
"22 : Manufacture of rubber and plastic products","22","division","2019",330
"22 : Manufacture of rubber and plastic products","22","division","2020",295
"22 : Manufacture of rubber and plastic products","22","division","2021",275
"22 : Manufacture of rubber and plastic products","22","division","2022",320
"22 : Manufacture of rubber and plastic products","22","division","2023",310
"22 : Manufacture of rubber and plastic products","22","division","2024",385
"221 : Manufacture of rubber products","221","group","2019",30
"221 : Manufacture of rubber products","221","group","2020",25
"221 : Manufacture of rubber products","221","group","2021",25
"221 : Manufacture of rubber products","221","group","2022",35
"221 : Manufacture of rubber products","221","group","2023",25
"221 : Manufacture of rubber products","221","group","2024",110
"222 : Manufacture of plastics products","222","group","2019",300
"222 : Manufacture of plastics products","222","group","2020",270
"222 : Manufacture of plastics products","222","group","2021",250
"222 : Manufacture of plastics products","222","group","2022",285
"222 : Manufacture of plastics products","222","group","2023",285
"222 : Manufacture of plastics products","222","group","2024",275
"23 : Manufacture of other non-metallic mineral products","23","division","2019",275
"23 : Manufacture of other non-metallic mineral products","23","division","2020",200
"23 : Manufacture of other non-metallic mineral products","23","division","2021",230
"23 : Manufacture of other non-metallic mineral products","23","division","2022",360
"23 : Manufacture of other non-metallic mineral products","23","division","2023",505
"23 : Manufacture of other non-metallic mineral products","23","division","2024",310
"231 : Manufacture of glass and glass products","231","group","2019",55
"231 : Manufacture of glass and glass products","231","group","2020",40
"231 : Manufacture of glass and glass products","231","group","2021",40
"231 : Manufacture of glass and glass products","231","group","2022",40
"231 : Manufacture of glass and glass products","231","group","2023",55
"231 : Manufacture of glass and glass products","231","group","2024",50
"232 : Manufacture of refractory products","232","group","2019",5
"232 : Manufacture of refractory products","232","group","2020",5
"232 : Manufacture of refractory products","232","group","2021",5
"232 : Manufacture of refractory products","232","group","2022",5
"232 : Manufacture of refractory products","232","group","2023",10
"232 : Manufacture of refractory products","232","group","2024",5
"233 : Manufacture of clay building materials","233","group","2019",20
"233 : Manufacture of clay building materials","233","group","2020",10
"233 : Manufacture of clay building materials","233","group","2021",20
"233 : Manufacture of clay building materials","233","group","2022",45
"233 : Manufacture of clay building materials","233","group","2023",80
"233 : Manufacture of clay building materials","233","group","2024",30
"234 : Manufacture of other porcelain and ceramic products","234","group","2019",20
"234 : Manufacture of other porcelain and ceramic products","234","group","2020",30
"234 : Manufacture of other porcelain and ceramic products","234","group","2021",20
"234 : Manufacture of other porcelain and ceramic products","234","group","2022",40
"234 : Manufacture of other porcelain and ceramic products","234","group","2023",45
"234 : Manufacture of other porcelain and ceramic products","234","group","2024",20
"235 : Manufacture of cement, lime and plaster","235","group","2019",5
"235 : Manufacture of cement, lime and plaster","235","group","2020",0
"235 : Manufacture of cement, lime and plaster","235","group","2021",0
"235 : Manufacture of cement, lime and plaster","235","group","2022",5
"235 : Manufacture of cement, lime and plaster","235","group","2023",0
"235 : Manufacture of cement, lime and plaster","235","group","2024",0
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2019",70
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2020",60
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2021",65
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2022",115
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2023",185
"236 : Manufacture of articles of concrete, cement and plaster","236","group","2024",95
"237 : Cutting, shaping and finishing of stone","237","group","2019",85
"237 : Cutting, shaping and finishing of stone","237","group","2020",45
"237 : Cutting, shaping and finishing of stone","237","group","2021",65
"237 : Cutting, shaping and finishing of stone","237","group","2022",95
"237 : Cutting, shaping and finishing of stone","237","group","2023",115
"237 : Cutting, shaping and finishing of stone","237","group","2024",95
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2019",15
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2020",10
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2021",15
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2022",15
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2023",15
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2024",15
"24 : Manufacture of basic metals","24","division","2019",155
"24 : Manufacture of basic metals","24","division","2020",145
"24 : Manufacture of basic metals","24","division","2021",145
"24 : Manufacture of basic metals","24","division","2022",145
"24 : Manufacture of basic metals","24","division","2023",180
"24 : Manufacture of basic metals","24","division","2024",155
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2019",80
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2020",85
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2021",70
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2022",75
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2023",75
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2024",75
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2019",25
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2020",20
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2021",30
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2022",25
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2023",25
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2024",25
"243 : Manufacture of other products of first processing of steel","243","group","2019",0
"243 : Manufacture of other products of first processing of steel","243","group","2020",0
"243 : Manufacture of other products of first processing of steel","243","group","2021",0
"243 : Manufacture of other products of first processing of steel","243","group","2022",5
"243 : Manufacture of other products of first processing of steel","243","group","2023",5
"243 : Manufacture of other products of first processing of steel","243","group","2024",0
"244 : Manufacture of basic precious and other non-ferrous metals","244","group","2019",30
