year,industry_raw,industry_code,industry_level,births,survival_of_1_year,percent_of_1_year,survival_of_2_year,percent_of_2_year,survival_of_3_year,percent_of_3_year,survival_of_4_year,percent_of_4_year,survival_of_5_year,percent_of_5_year
2019,422 : Construction of utility projects,422,group,350,335,95.7142857142857,280,80,210,60,170,48.5714285714286,145,41.4285714285714
2019,429 : Construction of other civil engineering projects,429,group,1620,1540,95.0617283950617,1280,79.0123456790123,940,58.0246913580247,715,44.1358024691358,605,37.3456790123457
2019,43 : Specialised construction activities,43,division,28245,26310,93.1492299522039,21775,77.0932908479377,17600,62.3119136130289,14910,52.7881040892193,13050,46.2028677642061
2019,431 : Demolition and site preparation,431,group,980,845,86.2244897959184,590,60.2040816326531,385,39.2857142857143,305,31.1224489795918,255,26.0204081632653
2019,"432 : Electrical, plumbing and other construction installation activities",432,group,10610,10115,95.3345900094251,8725,82.2337417530632,7440,70.1225259189444,6440,60.6974552309142,5700,53.7229029217719
2019,433 : Building completion and finishing,433,group,11560,10565,91.3927335640138,8580,74.2214532871972,6630,57.3529411764706,5535,47.8806228373702,4800,41.522491349481
2019,439 : Other specialised construction activities,439,group,5095,4785,93.9156035328754,3880,76.153091265947,3145,61.7271835132483,2630,51.6192345436703,2295,45.0441609421001
2019,45 : Wholesale and retail trade and repair of motor vehicles and motorcycles,45,division,7420,6940,93.5309973045822,5675,76.4824797843666,4580,61.7250673854447,3910,52.6954177897574,3445,46.4285714285714
2019,451 : Sale of motor vehicles,451,group,2395,2245,93.7369519832985,1770,73.9039665970772,1415,59.0814196242171,1210,50.5219206680584,1050,43.8413361169102
2019,452 : Maintenance and repair of motor vehicles,452,group,4165,3885,93.2773109243697,3240,77.7911164465786,2605,62.5450180072029,2210,53.0612244897959,1965,47.1788715486194
2019,453 : Sale of motor vehicle parts and accessories,453,group,680,640,94.1176470588235,525,77.2058823529412,440,64.7058823529412,390,57.3529411764706,350,51.4705882352941
2019,"454 : Sale, maintenance and repair of motorcycles and related parts and accessories",454,group,180,170,94.4444444444444,140,77.7777777777778,120,66.6666666666667,100,55.5555555555556,80,44.4444444444444
2019,"46 : Wholesale trade, except of motor vehicles and motorcycles",46,division,9390,8790,93.6102236421725,6835,72.790202342918,5305,56.4962726304579,4505,47.9765708200213,3920,41.7465388711395
2019,461 : Wholesale on a fee or contract basis,461,group,1725,1630,94.4927536231884,1290,74.7826086956522,1010,58.5507246376812,835,48.4057971014493,695,40.2898550724638
2019,462 : Wholesale of agricultural raw materials and live animals,462,group,200,185,92.5,150,75,120,60,105,52.5,95,47.5
