"industry_raw","industry_code","industry_level","year","active_enterprises_10plus_employees"
"237 : Cutting, shaping and finishing of stone","237","group","2019",220
"237 : Cutting, shaping and finishing of stone","237","group","2020",205
"237 : Cutting, shaping and finishing of stone","237","group","2021",205
"237 : Cutting, shaping and finishing of stone","237","group","2022",220
"237 : Cutting, shaping and finishing of stone","237","group","2023",215
"237 : Cutting, shaping and finishing of stone","237","group","2024",210
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2019",75
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2020",80
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2021",80
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2022",80
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2023",85
"239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.","239","group","2024",85
"24 : Manufacture of basic metals","24","division","2019",585
"24 : Manufacture of basic metals","24","division","2020",595
"24 : Manufacture of basic metals","24","division","2021",590
"24 : Manufacture of basic metals","24","division","2022",580
"24 : Manufacture of basic metals","24","division","2023",565
"24 : Manufacture of basic metals","24","division","2024",565
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2019",165
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2020",160
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2021",175
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2022",170
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2023",165
"241 : Manufacture of basic iron and steel and of ferro-alloys","241","group","2024",170
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2019",95
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2020",105
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2021",105
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2022",105
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2023",100
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","242","group","2024",105
"243 : Manufacture of other products of first processing of steel","243","group","2019",50
"243 : Manufacture of other products of first processing of steel","243","group","2020",45
"243 : Manufacture of other products of first processing of steel","243","group","2021",40
"243 : Manufacture of other products of first processing of steel","243","group","2022",45
"243 : Manufacture of other products of first processing of steel","243","group","2023",45
