industry_raw,industry_code,industry_name,year,births_of_new_enterprises,active_enterprises,active_enterprises_10plus_employees,deaths_of_new_enterprises,percent_of_1_year,percent_of_2_year,percent_of_3_year,percent_of_4_year,percent_of_5_year,survival_of_1_year,survival_of_2_year,survival_of_3_year,survival_of_4_year,survival_of_5_year,high_growth_enterprises
21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,2021,85,760,215,75,94.1176470588235,64.7058823529412,35.2941176470588,NA,NA,80,55,30,NA,NA,15
21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,2022,85,740,195,80,88.2352941176471,58.8235294117647,NA,NA,NA,75,50,NA,NA,NA,10
21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,2023,55,710,200,75,100,NA,NA,NA,NA,55,NA,NA,NA,NA,15
22 : Manufacture of rubber and plastic products,22,Manufacture of rubber and plastic products,2019,280,5905,2260,330,96.4285714285714,75,62.5,57.1428571428571,48.2142857142857,270,210,175,160,135,70
22 : Manufacture of rubber and plastic products,22,Manufacture of rubber and plastic products,2020,325,5860,2200,295,92.3076923076923,70.7692307692308,53.8461538461538,46.1538461538462,NA,300,230,175,150,NA,75
22 : Manufacture of rubber and plastic products,22,Manufacture of rubber and plastic products,2021,295,5805,2165,275,93.2203389830508,72.8813559322034,62.7118644067797,NA,NA,275,215,185,NA,NA,60
22 : Manufacture of rubber and plastic products,22,Manufacture of rubber and plastic products,2022,255,5740,2145,320,90.1960784313726,68.6274509803922,NA,NA,NA,230,175,NA,NA,NA,65
22 : Manufacture of rubber and plastic products,22,Manufacture of rubber and plastic products,2023,205,5555,2090,310,90.2439024390244,NA,NA,NA,NA,185,NA,NA,NA,NA,65
23 : Manufacture of other non-metallic mineral products,23,Manufacture of other non-metallic mineral products,2019,310,3985,1015,275,93.5483870967742,79.0322580645161,67.741935483871,59.6774193548387,50,290,245,210,185,155,35
23 : Manufacture of other non-metallic mineral products,23,Manufacture of other non-metallic mineral products,2020,310,4005,1015,200,95.1612903225807,75.8064516129032,62.9032258064516,58.0645161290323,NA,295,235,195,180,NA,25
23 : Manufacture of other non-metallic mineral products,23,Manufacture of other non-metallic mineral products,2021,385,4170,1025,230,92.2077922077922,70.1298701298701,59.7402597402597,NA,NA,355,270,230,NA,NA,35
23 : Manufacture of other non-metallic mineral products,23,Manufacture of other non-metallic mineral products,2022,680,4605,1060,360,85.2941176470588,47.0588235294118,NA,NA,NA,580,320,NA,NA,NA,30
23 : Manufacture of other non-metallic mineral products,23,Manufacture of other non-metallic mineral products,2023,360,4535,1060,505,87.5,NA,NA,NA,NA,315,NA,NA,NA,NA,30
24 : Manufacture of basic metals,24,Manufacture of basic metals,2019,205,1985,585,155,95.1219512195122,78.0487804878049,63.4146341463415,51.219512195122,46.3414634146341,195,160,130,105,95,20
24 : Manufacture of basic metals,24,Manufacture of basic metals,2020,185,1980,595,145,94.5945945945946,75.6756756756757,59.4594594594595,51.3513513513513,NA,175,140,110,95,NA,15
24 : Manufacture of basic metals,24,Manufacture of basic metals,2021,175,1985,590,145,94.2857142857143,74.2857142857143,60,NA,NA,165,130,105,NA,NA,10
24 : Manufacture of basic metals,24,Manufacture of basic metals,2022,200,2020,580,145,95,65,NA,NA,NA,190,130,NA,NA,NA,10
24 : Manufacture of basic metals,24,Manufacture of basic metals,2023,155,2010,565,180,93.5483870967742,NA,NA,NA,NA,145,NA,NA,NA,NA,15
"25 : Manufacture of fabricated metal products, except machinery and equipment",25,"Manufacture of fabricated metal products, except machinery and equipment",2019,1410,29330,6005,2945,93.9716312056738,78.0141843971631,61.7021276595745,52.8368794326241,46.4539007092199,1325,1100,870,745,655,185
"25 : Manufacture of fabricated metal products, except machinery and equipment",25,"Manufacture of fabricated metal products, except machinery and equipment",2020,1250,28525,5900,2190,94.8,74.8,59.6,52,NA,1185,935,745,650,NA,160
"25 : Manufacture of fabricated metal products, except machinery and equipment",25,"Manufacture of fabricated metal products, except machinery and equipment",2021,1475,28445,5810,2710,93.8983050847458,73.8983050847458,60.3389830508475,NA,NA,1385,1090,890,NA,NA,125
"25 : Manufacture of fabricated metal products, except machinery and equipment",25,"Manufacture of fabricated metal products, except machinery and equipment",2022,1320,26585,5695,2935,93.1818181818182,73.1060606060606,NA,NA,NA,1230,965,NA,NA,NA,120
"25 : Manufacture of fabricated metal products, except machinery and equipment",25,"Manufacture of fabricated metal products, except machinery and equipment",2023,1035,24480,5575,1845,95.6521739130435,NA,NA,NA,NA,990,NA,NA,NA,NA,140
"26 : Manufacture of computer, electronic and optical products",26,"Manufacture of computer, electronic and optical products",2019,490,6435,1405,540,93.8775510204082,73.469387755102,56.1224489795918,47.9591836734694,43.8775510204082,460,360,275,235,215,70
"26 : Manufacture of computer, electronic and optical products",26,"Manufacture of computer, electronic and optical products",2020,485,6265,1415,475,92.7835051546392,72.1649484536082,52.5773195876289,44.3298969072165,NA,450,350,255,215,NA,65
"26 : Manufacture of computer, electronic and optical products",26,"Manufacture of computer, electronic and optical products",2021,480,6275,1425,475,94.7916666666667,70.8333333333333,56.25,NA,NA,455,340,270,NA,NA,50
"26 : Manufacture of computer, electronic and optical products",26,"Manufacture of computer, electronic and optical products",2022,480,6235,1440,575,90.625,60.4166666666667,NA,NA,NA,435,290,NA,NA,NA,45
"26 : Manufacture of computer, electronic and optical products",26,"Manufacture of computer, electronic and optical products",2023,380,5965,1435,500,88.1578947368421,NA,NA,NA,NA,335,NA,NA,NA,NA,55
27 : Manufacture of electrical equipment,27,Manufacture of electrical equipment,2019,255,3245,1060,210,94.1176470588235,74.5098039215686,56.8627450980392,47.0588235294118,41.1764705882353,240,190,145,120,105,45
27 : Manufacture of electrical equipment,27,Manufacture of electrical equipment,2020,295,3315,1070,200,91.5254237288136,67.7966101694915,54.2372881355932,42.3728813559322,NA,270,200,160,125,NA,40
27 : Manufacture of electrical equipment,27,Manufacture of electrical equipment,2021,285,3350,1070,240,92.9824561403509,68.4210526315789,54.3859649122807,NA,NA,265,195,155,NA,NA,25
27 : Manufacture of electrical equipment,27,Manufacture of electrical equipment,2022,305,3410,1055,275,95.0819672131148,60.655737704918,NA,NA,NA,290,185,NA,NA,NA,25
27 : Manufacture of electrical equipment,27,Manufacture of electrical equipment,2023,230,3330,1050,305,91.304347826087,NA,NA,NA,NA,210,NA,NA,NA,NA,40
28 : Manufacture of machinery and equipment n.e.c.,28,Manufacture of machinery and equipment n.e.c.,2019,585,8120,2220,555,93.1623931623932,74.3589743589744,55.5555555555556,47.008547008547,42.7350427350427,545,435,325,275,250,80
28 : Manufacture of machinery and equipment n.e.c.,28,Manufacture of machinery and equipment n.e.c.,2020,535,8035,2175,505,93.4579439252336,76.6355140186916,60.7476635514019,51.4018691588785,NA,500,410,325,275,NA,70
28 : Manufacture of machinery and equipment n.e.c.,28,Manufacture of machinery and equipment n.e.c.,2021,495,7935,2170,525,92.9292929292929,68.6868686868687,57.5757575757576,NA,NA,460,340,285,NA,NA,50
28 : Manufacture of machinery and equipment n.e.c.,28,Manufacture of machinery and equipment n.e.c.,2022,790,8115,2165,670,89.873417721519,55.6962025316456,NA,NA,NA,710,440,NA,NA,NA,55
28 : Manufacture of machinery and equipment n.e.c.,28,Manufacture of machinery and equipment n.e.c.,2023,425,7805,2110,615,92.9411764705882,NA,NA,NA,NA,395,NA,NA,NA,NA,50
"29 : Manufacture of motor vehicles, trailers and semi-trailers",29,"Manufacture of motor vehicles, trailers and semi-trailers",2019,445,3830,775,365,95.5056179775281,71.9101123595506,46.0674157303371,33.7078651685393,30.3370786516854,425,320,205,150,135,40
"29 : Manufacture of motor vehicles, trailers and semi-trailers",29,"Manufacture of motor vehicles, trailers and semi-trailers",2020,395,3875,770,425,93.6708860759494,74.6835443037975,56.9620253164557,43.0379746835443,NA,370,295,225,170,NA,25
"29 : Manufacture of motor vehicles, trailers and semi-trailers",29,"Manufacture of motor vehicles, trailers and semi-trailers",2021,570,4080,785,440,94.7368421052632,69.2982456140351,56.140350877193,NA,NA,540,395,320,NA,NA,20
"29 : Manufacture of motor vehicles, trailers and semi-trailers",29,"Manufacture of motor vehicles, trailers and semi-trailers",2022,435,4005,795,480,90.8045977011494,64.367816091954,NA,NA,NA,395,280,NA,NA,NA,25
"29 : Manufacture of motor vehicles, trailers and semi-trailers",29,"Manufacture of motor vehicles, trailers and semi-trailers",2023,320,3890,780,390,92.1875,NA,NA,NA,NA,295,NA,NA,NA,NA,30
30 : Manufacture of other transport equipment,30,Manufacture of other transport equipment,2019,275,2595,350,295,92.7272727272727,70.9090909090909,47.2727272727273,36.3636363636364,29.0909090909091,255,195,130,100,80,25
30 : Manufacture of other transport equipment,30,Manufacture of other transport equipment,2020,230,2535,350,290,93.4782608695652,60.8695652173913,36.9565217391304,30.4347826086957,NA,215,140,85,70,NA,25
30 : Manufacture of other transport equipment,30,Manufacture of other transport equipment,2021,280,2580,370,395,87.5,64.2857142857143,51.7857142857143,NA,NA,245,180,145,NA,NA,10
30 : Manufacture of other transport equipment,30,Manufacture of other transport equipment,2022,280,2390,375,410,92.8571428571429,57.1428571428571,NA,NA,NA,260,160,NA,NA,NA,10
30 : Manufacture of other transport equipment,30,Manufacture of other transport equipment,2023,205,2180,360,265,92.6829268292683,NA,NA,NA,NA,190,NA,NA,NA,NA,15
